id,ast,bnf,cfg,eval
140155350,0.0,6.333333333333333,2.5,0.0
150125682,0.0,7.5,4.5,0.0
160028361,0.0,9.0,8.0,3.0
160119006,0.0,8.0,5.0,0.0
160141842,0.0,9.0,8.0,3.0
170011267,0.0,9.0,8.0,3.0
170013987,2.5,9.5,8.0,3.0
170032591,0.0,4.0,5.0,0.0
170101711,0.0,9.0,8.0,3.0
170111059,0.0,6.5,3.5,0.0
170142329,0.0,9.0,8.0,3.0
170144488,0.0,9.0,8.0,3.0
170161871,0.0,8.0,5.0,0.0
180015222,0.0,8.0,5.0,0.0
180016938,0.0,4.5,7.5,3.0
180017870,0.0,9.0,8.0,3.0
180018728,5.0,9.0,5.0,0.0
180024868,0.0,9.0,8.0,3.0
180027239,0.0,3.333333333333333,5.0,1.0
180028260,5.0,8.555555555555555,4.333333333333334,0.0
180029240,0.0,3.4444444444444446,4.166666666666666,0.0
180033620,5.0,10.0,8.0,3.0
180041592,0.0,8.0,5.0,0.0
180042041,0.0,9.0,8.0,3.0
180042661,0.0,9.0,8.0,3.0
180063162,0.0,8.0,5.0,0.0
180078224,0.0,9.0,8.0,3.0
180108344,0.0,9.0,8.0,3.0
180113259,0.0,1.5555555555555556,2.3333333333333335,0.0
180113666,0.0,9.0,8.0,3.0
180113992,0.0,9.0,8.0,3.0
180118005,2.5,9.5,8.0,3.0
180121995,0.0,9.0,8.0,3.0
180122258,5.0,9.666666666666668,7.0,2.0
180123459,0.0,9.0,8.0,3.0
180125885,0.0,9.0,8.0,3.0
180127535,0.0,8.0,5.0,0.0
180129147,5.0,10.0,8.0,3.0
180130889,0.0,8.0,5.0,0.0
180132385,0.0,9.0,8.0,3.0
180138545,0.0,8.0,5.0,0.0
180145088,0.0,7.555555555555555,4.333333333333334,0.0
190011602,5.0,10.0,8.0,3.0
190020601,2.5,7.5,6.0,3.0
190025298,0.0,9.0,8.0,3.0
190036435,0.0,9.0,8.0,3.0
190042419,0.0,9.0,8.0,3.0
190044390,0.0,9.0,8.0,3.0
190044799,0.0,9.0,8.0,3.0
190045485,0.0,9.0,8.0,3.0
190046091,0.0,9.0,8.0,3.0
190047968,0.0,8.0,5.0,0.0
190054832,0.0,9.0,8.0,3.0
190055201,0.0,9.0,8.0,3.0
190058650,0.0,9.0,8.0,3.0
190085291,0.0,8.333333333333332,6.0,1.0
190101792,0.0,9.0,8.0,3.0
190124997,0.0,8.0,5.0,0.0
190128712,0.0,2.3333333333333335,4.0,1.0
200043111,0.0,9.0,8.0,3.0
202028211,0.0,8.0,7.0,3.0
