id,cfg-ast,cfg-lark,compilador-org,eval,eval-fn,ir,lex-lark,lex-re,re-basico,recur
140155350,0.0,0.8461538461538461,0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.0
150125682,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
160028361,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
160119006,0.0,0.8461538461538461,0.5,0.05,0.0,0.0,0.9473684210526316,1.0,0.72,0.0
160141842,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
170011267,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
170013987,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
170032591,1.0,1.0,0.75,1.0,0.0,1.0,1.0,0.8421052631578947,1.0,0.0
170101711,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
170111059,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
170142329,0.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,0.84,0.0
170144488,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
170161871,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180015222,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
180016938,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180017870,1.0,1.0,0.75,1.0,0.0,1.0,1.0,0.0,1.0,0.0
180018019,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
180018728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180024868,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180028260,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180029240,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
180033620,1.0,1.0,0.75,1.0,0.0,1.0,0.7368421052631579,1.0,0.6,0.0
180041592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180042041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180042661,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
180063162,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
180078224,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180108344,1.0,1.0,1.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0
180113259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180113666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180113992,0.0,1.0,0.5,0.05,0.0,0.0,1.0,1.0,1.0,0.0
180118005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180121995,0.0,0.8461538461538461,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
180122258,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180123459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180125885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180127535,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
180129147,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.0
180130889,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180132385,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
180138545,1.0,1.0,1.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0
180145088,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
190011602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190020601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190025298,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
190036435,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
190042419,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
190044390,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
190044799,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
190045485,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
190046091,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
190047968,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
190054832,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
190055201,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
